Goods Category,Year,Value(USD)
Animals and Animal Products,1995,10414.3
Plant Products,1995,4939.3
Mineral products,1995,309976.4
Chemical products,1995,1538.7
Raw hides skin and fur products,1995,23733.4
Wooden products,1995,4864.8
Crocheted products,1995,80730.6
Precious stones and metal products,1995,4.4
Basic Ferrous Metal Products,1995,17070.3
Animals and Animal Products,1996,14136.8
Plant Products,1996,1882.0
Mineral products,1996,242778.3
Chemical products,1996,2148.6
Raw hides skin and fur products,1996,23032.7
Wooden products,1996,10193.7
Crocheted products,1996,103496.5
Precious stones and metal products,1996,0.5
Basic Ferrous Metal Products,1996,15969.2
Animals and Animal Products,1997,18664.2
Plant Products,1997,359.8
Mineral products,1997,251443.6
Chemical products,1997,1040.2
Raw hides skin and fur products,1997,26710.2
Wooden products,1997,21142.4
Crocheted products,1997,96574.4
Precious stones and metal products,1997,116996.4
Basic Ferrous Metal Products,1997,21851.6
Animals and Animal Products,1998,18793.2
Plant Products,1998,370.8
Mineral products,1998,156287.2
Chemical products,1998,129.8
Raw hides skin and fur products,1998,27592.4
Wooden products,1998,34584.3
Crocheted products,1998,77872.0
Precious stones and metal products,1998,123706.2
Basic Ferrous Metal Products,1998,11002.9
Animals and Animal Products,1999,21864.5
Plant Products,1999,68.0
Mineral products,1999,146837.2
Chemical products,1999,457.2
Raw hides skin and fur products,1999,30045.3
Wooden products,1999,5509.8
Crocheted products,1999,127380.9
Precious stones and metal products,1999,99014.6
Basic Ferrous Metal Products,1999,8269.3
Animals and Animal Products,2000,23102.5
Plant Products,2000,230.4
Mineral products,2000,188562.7
Chemical products,2000,107.1
Raw hides skin and fur products,2000,42189.5
Wooden products,2000,875.4
Crocheted products,2000,192275.6
Precious stones and metal products,2000,75786.0
Basic Ferrous Metal Products,2000,6054.8
Animals and Animal Products,2001,26369.2
Plant Products,2001,1090.4
Mineral products,2001,175212.7
Chemical products,2001,2939.7
Raw hides skin and fur products,2001,59080.2
Wooden products,2001,210.4
Crocheted products,2001,171502.6
Precious stones and metal products,2001,150178.7
Basic Ferrous Metal Products,2001,5105.9
Animals and Animal Products,2002,28864.2
Plant Products,2002,2747.2
Mineral products,2002,173371.7
Chemical products,2002,122.1
Raw hides skin and fur products,2002,46102.8
Wooden products,2002,213.6
Crocheted products,2002,145144.0
Precious stones and metal products,2002,119326.2
Basic Ferrous Metal Products,2002,4326.9
Animals and Animal Products,2003,22505.4
Plant Products,2003,1144.4
Mineral products,2003,214583.4
Chemical products,2003,121.7
Raw hides skin and fur products,2003,54894.6
Wooden products,2003,528.1
Crocheted products,2003,165022.1
Precious stones and metal products,2003,139903.7
Basic Ferrous Metal Products,2003,8562.9
Animals and Animal Products,2004,18354.9
Plant Products,2004,6082.4
Mineral products,2004,353738.5
Chemical products,2004,68.0
Raw hides skin and fur products,2004,23142.5
Wooden products,2004,1187.3
Crocheted products,2004,197002.6
Precious stones and metal products,2004,243257.2
Basic Ferrous Metal Products,2004,19779.8
Animals and Animal Products,2005,19608.4
Plant Products,2005,910.5
Mineral products,2005,454731.0
Chemical products,2005,44.8
Raw hides skin and fur products,2005,30488.7
Wooden products,2005,1209.6
Crocheted products,2005,191434.2
Precious stones and metal products,2005,331576.6
Basic Ferrous Metal Products,2005,18227.8
Animals and Animal Products,2006,25662.1
Plant Products,2006,8995.9
Mineral products,2006,893992.2
Chemical products,2006,136.7
Raw hides skin and fur products,2006,44997.6
Wooden products,2006,1926.6
Crocheted products,2006,246682.3
Precious stones and metal products,2006,270172.0
Basic Ferrous Metal Products,2006,24769.1
Animals and Animal Products,2007,26733.0
Plant Products,2007,2990.3
Mineral products,2007,1301403.7
Chemical products,2007,1561.0
Raw hides skin and fur products,2007,42194.3
Wooden products,2007,1232.8
Crocheted products,2007,262566.8
Precious stones and metal products,2007,234880.0
Basic Ferrous Metal Products,2007,26492.2
Animals and Animal Products,2008,31641.5
Plant Products,2008,950.2
Mineral products,2008,1529401.0
Chemical products,2008,33236.6
Raw hides skin and fur products,2008,41021.0
Wooden products,2008,448.2
Crocheted products,2008,226542.8
Precious stones and metal products,2008,600172.6
Basic Ferrous Metal Products,2008,23121.8
Animals and Animal Products,2009,45808.8
Plant Products,2009,5244.4
Mineral products,2009,1251766.6
Chemical products,2009,290.2
Raw hides skin and fur products,2009,29043.8
Wooden products,2009,460.6
Crocheted products,2009,192166.6
Precious stones and metal products,2009,308525.2
Basic Ferrous Metal Products,2009,17414.4
Animals and Animal Products,2010,69384.3
Plant Products,2010,447.9
Mineral products,2010,2354476.0
Chemical products,2010,97.4
Raw hides skin and fur products,2010,32532.4
Wooden products,2010,412.4
Crocheted products,2010,216340.8
Precious stones and metal products,2010,178351.5
Basic Ferrous Metal Products,2010,22158.2
Animals and Animal Products,2011,39946.9
Plant Products,2011,5196.8
Mineral products,2011,4299412.1
Chemical products,2011,206.3
Raw hides skin and fur products,2011,51130.1
Wooden products,2011,457.9
Crocheted products,2011,241477.4
Precious stones and metal products,2011,109916.0
Basic Ferrous Metal Products,2011,25668.8
Animals and Animal Products,2012,24237.3
Plant Products,2012,4261.2
Mineral products,2012,3909626.6
Chemical products,2012,156.9
Raw hides skin and fur products,2012,30548.3
Wooden products,2012,636.0
Crocheted products,2012,233604.5
Precious stones and metal products,2012,122345.4
Basic Ferrous Metal Products,2012,19806.4
Animals and Animal Products,2013,24224.1
Plant Products,2013,9151.0
Mineral products,2013,3495466.9
Chemical products,2013,297.0
Raw hides skin and fur products,2013,35170.4
Wooden products,2013,346.0
Crocheted products,2013,283003.3
Precious stones and metal products,2013,309910.5
Basic Ferrous Metal Products,2013,21517.7
Animals and Animal Products,2014,16513.5
Plant Products,2014,22315.1
Mineral products,2014,4791481.7
Chemical products,2014,645.3
Raw hides skin and fur products,2014,35800.5
Wooden products,2014,636.0
Crocheted products,2014,338751.6
Precious stones and metal products,2014,405577.7
Basic Ferrous Metal Products,2014,47703.0
Animals and Animal Products,2015,26382.0
Plant Products,2015,37844.0
Mineral products,2015,3678200.0
Chemical products,2015,656.3
Raw hides skin and fur products,2015,33805.6
Wooden products,2015,425.4
Crocheted products,2015,302654.5
Precious stones and metal products,2015,421385.0
Basic Ferrous Metal Products,2015,72279.0
Animals and Animal Products,2016,29242.2
