"барааны бүлэг","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Мал, амьтан, тэдгээрийн гаралтай бүтээгдэхүүн","10,414.30","14,136.80","18,664.20","18,793.20","21,864.50","23,102.50","26,369.20","28,864.20","22,505.40","18,354.90","19,608.40","25,662.10","26,733.00","31,641.50","45,808.80","69,384.30","39,946.90","24,237.30","24,224.10","16,513.50","26,382.00","29,242.20","67,416.80","102,121.20","97,610.50","52,915.30","42,266.50","65,256.80","200,066.00"
"Ургамлын гаралтай бүтээгдэхүүн","4,939.30","1,882.00","359.80","370.80","68.00","230.40","1,090.40","2,747.20","1,144.40","6,082.40","910.50","8,995.90","2,990.30","950.20","5,244.40","447.90","5,196.80","4,261.20","9,151.00","22,315.10","37,844.00","55,107.50","67,654.80","22,010.50","12,463.30","11,029.20","89,311.80","99,742.90","160,741.00"
"Мал, амьтан, ургамлын гаралтай өөх тос","36.00","219.20","18.80","34.00","1.40","45.70","18.20","28.50","50.90","35.20","153.40","39.50","68.20","111.50","2.20","4.60","10.50","34.30","5.80","11.80","71.70","700.50","388.20","536.00","654.90","620.50","976.40","2,616.40","3,164.60"
"Хүнсний бэлэн бүтээгдэхүүн","2,541.50","1,746.00","2,000.00","2,837.60","2,552.60","1,142.10","328.30","382.80","191.70","490.60","1,710.50","2,122.30","2,642.50","3,527.40","5,474.00","6,051.20","7,824.70","8,928.50","14,925.30","11,588.80","15,669.30","11,920.20","23,007.90","91,423.30","61,856.40","70,206.00","47,076.10","23,710.10","157,718.70"
"Эрдэс бүтээгдэхүүн","309,976.40","242,778.30","251,443.60","156,287.20","146,837.20","188,562.70","175,212.70","173,371.70","214,583.40","353,738.50","454,731.00","893,992.20","1,301,403.70","1,529,401.00","1,251,766.60","2,354,476.00","4,299,412.10","3,909,626.60","3,495,466.90","4,791,481.70","3,678,200.00","3,484,046.60","4,933,672.10","6,070,339.20","6,377,586.40","5,256,037.30","7,510,437.70","10,543,268.90","13,146,454.20"
"Химийн болон химийн үйлдвэрийн бүтээгдэхүүн","1,538.70","2,148.60","1,040.20","129.80","457.20","107.10","2,939.70","122.10","121.70","68.00","44.80","136.70","1,561.00","33,236.60","290.20","97.40","206.30","156.90","297.00","645.30","656.30","1,631.40","1,470.90","1,247.70","2,260.50","575.40","588.00","672.90","1,486.40"
"Хуванцар, каучук, түүгээр хийсэн эдлэл","98.60","850.90","104.70","238.10","137.40","1,495.30","53.50","100.70","327.40","1,036.60","1,356.80","1,882.30","1,464.80","2,139.20","829.40","1,426.70","1,520.00","1,533.80","2,899.90","2,167.60","2,428.80","7,619.20","2,983.50","1,591.30","1,280.90","630.90","1,180.00","11,167.00","21,806.10"
"Түүхий болон боловсруулсан арьс, шир, ангийн үс,эдгээрээр хийсэн эдлэл","23,733.40","23,032.70","26,710.20","27,592.40","30,045.30","42,189.50","59,080.20","46,102.80","54,894.60","23,142.50","30,488.70","44,997.60","42,194.30","41,021.00","29,043.80","32,532.40","51,130.10","30,548.30","35,170.40","35,800.50","33,805.60","30,210.40","23,920.70","16,960.30","14,119.80","7,433.70","6,478.40","5,239.20","4,758.50"
"Мод, модон эдлэл","4,864.80","10,193.70","21,142.40","34,584.30","5,509.80","875.40","210.40","213.60","528.10","1,187.30","1,209.60","1,926.60","1,232.80","448.20","460.60","412.40","457.90","636.00","346.00","636.00","425.40","429.00","633.50","356.70","604.10","305.90","117.70","256.60","365.60"
"Целлюлоз, цаас, картон,тэдгээрээр хийсэн зүйл","187.60","126.20","107.00","163.50","61.70","126.10","59.00","165.00","267.20","238.20","2,706.50","209.10","188.30","525.60","201.00","324.40","353.70","61.30","56.70","55.40","105.70","55.60","77.70","36.30","43.20","47.20","32.00","358.90","121.20"
